
11.5837290287
DC Mokokchung,123
District Registrar Births & Deaths cum Chief Medical Officer Chamba,1
The Chief Postmaster General  West Bengal Circle,2
E-Seva Society Surendranagar,950
DC Dimapur,267
D.C. Champhai,925
DFCSO Anjaw,214
Arya bandhu herbs and durgs private limited,5
District IT Society Rewari,2
DCB Bank Ltd,70
Integra Micro Systems Pvt.ltd,0
ADC Naginimora,119
Smart Chip Limited,74
Jilla E-Seva Society Sabarkantha,1587
Aizawl Urban CDPO,0
ADC Aboi,44
Municipal Corporation Ahmedabad,6081
SDO Wakching,26
Syndicate Bank,2232
UID e-Seva Society Ahmedabad,946
BASIX,38
Promind Solutions P Limited,14
VIRGO SOFTECH LIMITED,6
DFCSO  Tezu,54
Global Finsol Private Limited,0
M/S KING COMPUTER SYSTEM PVT LTD,9
Transline Technologies P Ltd,91
ADC Medziphema,27
Agro Tech Engineers,476
Department of Health & Family Welfare  Punjab,925
Office of the CO Palin,97
District E-Seva Society Panchmahals Godhra,729
AVVAS INFOTECH PVT  LTD,53527
M/s Sanish Choudhary,3843
A I Soc for Electronics and Comp Tech,1979
ADC Tseminyu,0
DDSE Lohit,115
Academy of Management Studies,1
Computer LAB,21588
CityUnion Bank Limited,881
SDO C Jalukie,111
IPS e Services Pvt Ltd,13247
ADC ZIRO SADAR,182
NVR & ASSOCIATES LIMITED,1569
SRM Techsol Pvt. Ltd.,561
District Health &Family and Welfare Society Jind.,5
Steel City Securities Limited,1953
Make India Smart Private Limited,4311
Alankit Assignments Limited,0
District Health and Family Welfare Society Fatehabad,4
District Registrar Births & Deaths cum Chief Medical Officer  Shimla,9
SNR Edatas Pvt Ltd,2303
District Magistrate & Collector  Unakoti  District,162
M/s. Goa Electronics Ltd,756
Network for Information & Computer Technology,16
District E-Seva Society Gurgaon,25
District Registrar Births & Deaths cum Chief Medical Officer  Solan,2
Women and Child Development,1379
District Registrar Births & De rths cum Chief Medical Officer  Lahaul spiti,0
Estex Telecom Pvt Ltd,14
District E-Seva Society Surat,313
Virinchi Technologies Ltd,2199
DC Kiphire,86
Department of Posts  Tamilnadu,70
District Family & Welfare Society  Ambala,10
KRISHNAURAM SHIKSHA EVAM JAN KALYAN SAMITI,46
DC Zunheboto,81
